🕘️更新时间,#genre#
CCTV-17,https://mgtv.ottiptv.cc/migu/673168256.m3u8?migutoken=549f447a71760fff3b00bc77e20b635782f8f1b649484af222d8b84873e49ef422088e12f72be410b13fcc2bc2b13116a000270e46fef922109f32f7c7e667093cd1f09a3c6d24484f34ab9287$订阅源

📡卫视频道,#genre#
广东卫视,https://mursor.ottiptv.cc/mcp/guangdong.m3u8$订阅源
浙江卫视,https://mursor.ottiptv.cc/mcp/zhejiang.m3u8$订阅源
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
湖南卫视,https://mursor.ottiptv.cc/mcp/hunan.m3u8$订阅源
北京卫视,https://mursor.ottiptv.cc/mcp/beijing.m3u8$订阅源
湖北卫视,https://mursor.ottiptv.cc/mcp/hubei.m3u8$订阅源
黑龙江卫视,https://mursor.ottiptv.cc/mcp/heilongjiang.m3u8$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
安徽卫视,https://mursor.ottiptv.cc/mcp/anhui.m3u8$订阅源
重庆卫视,https://mursor.ottiptv.cc/mcp/chongqing.m3u8$订阅源
东方卫视,https://mursor.ottiptv.cc/mcp/dongfang.m3u8$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,https://mursor.ottiptv.cc/mcp/dongnan.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,https://mursor.ottiptv.cc/mcp/gansu.m3u8$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
广西卫视,https://mursor.ottiptv.cc/mcp/guangxi.m3u8$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
贵州卫视,https://mursor.ottiptv.cc/mcp/guizhou.m3u8$订阅源
海南卫视,https://mursor.ottiptv.cc/mcp/hainan.m3u8$订阅源
河北卫视,https://mursor.ottiptv.cc/mcp/hebei.m3u8$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
河南卫视,https://mursor.ottiptv.cc/mcp/henan.m3u8$订阅源
吉林卫视,https://mursor.ottiptv.cc/mcp/jiling.m3u8$订阅源
江苏卫视,https://mursor.ottiptv.cc/mcp/jiangsu.m3u8$订阅源
江西卫视,https://mursor.ottiptv.cc/mcp/jiangxi.m3u8$订阅源
辽宁卫视,https://mursor.ottiptv.cc/mcp/liaoning.m3u8$订阅源
内蒙古卫视,https://mursor.ottiptv.cc/mcp/neimenggu.m3u8$订阅源
宁夏卫视,https://mursor.ottiptv.cc/mcp/ningxia.m3u8$订阅源
山东卫视,https://mursor.ottiptv.cc/mcp/shandong.m3u8$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
山西卫视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8$订阅源
陕西卫视,https://mursor.ottiptv.cc/mcp/shanxiws.m3u8$订阅源
深圳卫视,https://mursor.ottiptv.cc/mcp/shenzheng.m3u8$订阅源
天津卫视,https://mursor.ottiptv.cc/mcp/tianjing.m3u8$订阅源
西藏卫视,https://mursor.ottiptv.cc/mcp/xizang.m3u8$订阅源
新疆卫视,https://mursor.ottiptv.cc/mcp/xinjiang.m3u8$订阅源
云南卫视,https://mursor.ottiptv.cc/mcp/yunnan.m3u8$订阅源
